[ 03:59:58.725147 ] INFO   7957 sparrow.c:315 Connection: keep-alive
[ 03:59:58.725150 ] INFO   7957 sparrow.c:315 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36
[ 03:59:58.725153 ] INFO   7957 sparrow.c:315 Accept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
[ 03:59:58.725156 ] INFO   7957 sparrow.c:315 Referer: http://18.188.49.136:8080/about-us.html
[ 03:59:58.725159 ] INFO   7957 sparrow.c:315 Accept-Encoding: gzip, deflate
[ 03:59:58.725162 ] INFO   7957 sparrow.c:315 Accept-Language: en-US,en;q=0.9
[ 03:59:58.725164 ] INFO   7957 sparrow.c:317 ++++++++++++++++++++++++ REQUEST END ++++++++++++++++++++++
[ 03:59:58.742855 ] INFO   7956 sparrow.c:307 +++++++++++++++++++++++ REQUEST START +++++++++++++++++++++
[ 03:59:58.742861 ] INFO   7956 sparrow.c:308 request is 414 bytes long
[ 03:59:58.742864 ] INFO   7956 sparrow.c:309 method is GET
[ 03:59:58.742867 ] INFO   7956 sparrow.c:310 path is /logo/ABOUT-US-LOGO2.png
[ 03:59:58.742870 ] INFO   7956 sparrow.c:311 HTTP version is 1.1
[ 03:59:58.742872 ] INFO   7956 sparrow.c:312 headers:
[ 03:59:58.742876 ] INFO   7956 sparrow.c:315 Host: 18.188.49.136:8080
[ 03:59:58.742879 ] INFO   7956 sparrow.c:315 Connection: keep-alive
[ 03:59:58.742882 ] INFO   7956 sparrow.c:315 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36
[ 03:59:58.742885 ] INFO   7956 sparrow.c:315 Accept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
[ 03:59:58.742888 ] INFO   7956 sparrow.c:315 Referer: http://18.188.49.136:8080/about-us.html
[ 03:59:58.742890 ] INFO   7956 sparrow.c:315 Accept-Encoding: gzip, deflate
[ 03:59:58.742893 ] INFO   7956 sparrow.c:315 Accept-Language: en-US,en;q=0.9
[ 03:59:58.742896 ] INFO   7956 sparrow.c:317 ++++++++++++++++++++++++ REQUEST END ++++++++++++++++++++++
[ 03:59:58.788243 ] INFO   7953 sparrow.c:162 Got connection from ip:47.211.208.80, port:60152, conn_fd:16
